"Step","NR5-humanoid-wsrl-ablation-reward-scale10-bias0-finetuning-seed-1_mujoco-humanoid-medium-v0_sac_seed1_20260728_165820_rnd914154 - evaluation/average_return","NR5-humanoid-wsrl-ablation-reward-scale10-bias0-finetuning-seed-1_mujoco-humanoid-medium-v0_sac_seed1_20260728_165820_rnd914154 - evaluation/average_return__MIN","NR5-humanoid-wsrl-ablation-reward-scale10-bias0-finetuning-seed-1_mujoco-humanoid-medium-v0_sac_seed1_20260728_165820_rnd914154 - evaluation/average_return__MAX"
"250001","85.40800659131833","85.40800659131833","85.40800659131833"
"260000","184.78206308889648","184.78206308889648","184.78206308889648"
"280000","303.26137323746514","303.26137323746514","303.26137323746514"
"300000","321.8702032366125","321.8702032366125","321.8702032366125"
"320000","291.3032323332857","291.3032323332857","291.3032323332857"
"340000","433.07771543879244","433.07771543879244","433.07771543879244"
"360000","455.04409050922357","455.04409050922357","455.04409050922357"
"380000","488.47173528213045","488.47173528213045","488.47173528213045"
"400000","466.04845293106393","466.04845293106393","466.04845293106393"
"420000","514.3479507972836","514.3479507972836","514.3479507972836"
"440000","508.94155681602524","508.94155681602524","508.94155681602524"
"460000","546.3251585822318","546.3251585822318","546.3251585822318"
"480000","525.7745917289988","525.7745917289988","525.7745917289988"
"500000","607.8328390420273","607.8328390420273","607.8328390420273"
"520000","574.0291273944409","574.0291273944409","574.0291273944409"
"540000","570.72354385549","570.72354385549","570.72354385549"
"560000","509.0132521206632","509.0132521206632","509.0132521206632"
"580000","593.8597589943229","593.8597589943229","593.8597589943229"
"600000","599.6300211555272","599.6300211555272","599.6300211555272"
"620000","570.3015947184724","570.3015947184724","570.3015947184724"
"640000","658.0832855206166","658.0832855206166","658.0832855206166"
"660000","578.8914854051546","578.8914854051546","578.8914854051546"
"680000","609.0335173307283","609.0335173307283","609.0335173307283"
"700000","613.6983438159787","613.6983438159787","613.6983438159787"
"720000","620.989885088379","620.989885088379","620.989885088379"
"740000","629.4802038449486","629.4802038449486","629.4802038449486"
"750000","616.974197242784","616.974197242784","616.974197242784"
