"Step","NR5-humanoid-wsrl-ablation-reward-scale10-bias0-finetuning-seed-0_mujoco-humanoid-medium-v0_sac_seed0_20260728_165737_rnd753204 - evaluation/average_return","NR5-humanoid-wsrl-ablation-reward-scale10-bias0-finetuning-seed-0_mujoco-humanoid-medium-v0_sac_seed0_20260728_165737_rnd753204 - evaluation/average_return__MIN","NR5-humanoid-wsrl-ablation-reward-scale10-bias0-finetuning-seed-0_mujoco-humanoid-medium-v0_sac_seed0_20260728_165737_rnd753204 - evaluation/average_return__MAX"
"250001","99.9593479672856","99.9593479672856","99.9593479672856"
"260000","224.472568156706","224.472568156706","224.472568156706"
"280000","187.72257451590204","187.72257451590204","187.72257451590204"
"300000","395.8032395207982","395.8032395207982","395.8032395207982"
"320000","432.8793140580322","432.8793140580322","432.8793140580322"
"340000","383.87816953072445","383.87816953072445","383.87816953072445"
"360000","443.427913435145","443.427913435145","443.427913435145"
"380000","599.4290241344095","599.4290241344095","599.4290241344095"
"400000","589.8965113442525","589.8965113442525","589.8965113442525"
"420000","603.1338791819688","603.1338791819688","603.1338791819688"
"440000","705.0316635591115","705.0316635591115","705.0316635591115"
"460000","756.5895899484066","756.5895899484066","756.5895899484066"
"480000","597.07768147413","597.07768147413","597.07768147413"
"500000","725.4204277790594","725.4204277790594","725.4204277790594"
"520000","631.1274208470217","631.1274208470217","631.1274208470217"
"540000","1028.5139825439019","1028.5139825439019","1028.5139825439019"
"560000","977.262240481009","977.262240481009","977.262240481009"
"580000","816.6360212867314","816.6360212867314","816.6360212867314"
"600000","1139.637470510647","1139.637470510647","1139.637470510647"
"620000","1210.6753989034385","1210.6753989034385","1210.6753989034385"
"640000","1470.9805996771377","1470.9805996771377","1470.9805996771377"
"660000","2059.458514742194","2059.458514742194","2059.458514742194"
"680000","2332.5666316277548","2332.5666316277548","2332.5666316277548"
"700000","2501.5174379768005","2501.5174379768005","2501.5174379768005"
"720000","2106.8491544814083","2106.8491544814083","2106.8491544814083"
"740000","4132.150741436284","4132.150741436284","4132.150741436284"
"750000","3700.9094441892776","3700.9094441892776","3700.9094441892776"
