algo,ours_normalized_return_mean,ours_normalized_return_std,paper_normalized_return_approx,delta
wsrl,84.02288535305954,4.0790128448021035,79.0,5.022885353059536
cql,85.06722405977528,2.5334287306294425,50.0,35.067224059775285
iql,52.64500597409727,1.5864761059775425,37.0,15.645005974097273
